Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4-5,NA,3.4.0
acepack,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.1,NA,3.4.0
acs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.2,NA,3.4.2
ada,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-5,NA,3.4.0
ade4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7-10,NA,3.4.3
ape,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.0,NA,3.4.2
arm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.9-3,NA,3.4.0
ash,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-15,NA,3.4.0
assertive,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-5,NA,3.4.0
assertive.base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-7,NA,3.4.0
assertive.code,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.data,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.data.uk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.data.us,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.datetimes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-2,NA,3.4.0
assertive.files,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-2,NA,3.4.0
assertive.matrices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.models,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-1,NA,3.4.0
assertive.numbers,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-2,NA,3.4.0
assertive.properties,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-4,NA,3.4.0
assertive.reflection,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-4,NA,3.4.0
assertive.sets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-3,NA,3.4.0
assertive.strings,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-3,NA,3.4.0
assertive.types,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0-3,NA,3.4.0
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
audio,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-5,NA,3.4.0
audiolyzR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-9,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.3
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
bayesplot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.0,NA,3.4.2
BB,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2014.10-1,NA,3.4.0
bdsmatrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-3,NA,3.4.3
beepr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.0
benchmarkme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.0,NA,3.4.1
benchmarkmeData,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.1,NA,3.4.1
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.65.0-1,NA,3.4.1
bibtex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.2,NA,3.4.1
biclust,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
biglm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-1,NA,3.4.0
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
bit,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-12,NA,3.4.0
bit64,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-7,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
blob,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
blogdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.3
bmp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.1
bnlearn,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.3,NA,3.4.3
bookdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.3
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.3
BradleyTerry2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-8,NA,3.4.2
brew,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
brglm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.1,NA,3.4.1
bridgesampling,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-0,NA,3.4.3
brms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.0,NA,3.4.3
Brobdingnag,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-4,NA,3.4.0
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.3
BRRR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2,NA,3.4.2
Cairo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-9,NA,3.4.0
callr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.3
car,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-6,NA,3.4.3
caret,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,6.0-78,NA,3.4.3
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
cats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
checkmate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.5,NA,3.4.2
choroplethr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.6.1,NA,3.4.0
choroplethrMaps,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
chron,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3-52,NA,3.4.3
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.3
classifly,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4,NA,3.4.0
classInt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-24,NA,3.4.0
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.3
coda,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.19-1,NA,3.4.0
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.3
coin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-2,NA,3.4.3
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
colourpicker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.2
commonmark,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4,NA,3.4.1
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
config,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
corrplot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.84,NA,3.4.2
covr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0.1,NA,3.4.2
cowplot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.2,NA,3.4.3
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
crosstalk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1,NA,3.4.3
CVST,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-1,NA,3.4.0
d3heatmap,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.1.1,NA,3.4.0
daff,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.0
data.table,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.10.4-3,NA,3.4.2
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
ddalpha,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.2
debugme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.2
deldir,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-14,NA,3.4.0
dendextend,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.0,NA,3.4.2
DEoptimR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-8,NA,3.4.0
desc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.1
devtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.13.4,NA,3.4.2
dfoptim,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2017.12-1,NA,3.4.3
DiagrammeR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.2,NA,3.4.1
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.12,NA,3.4.0
dimRed,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.0
diptest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.75-7,NA,3.4.0
dlm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-4,NA,3.4.0
doParallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.11,NA,3.4.2
downloader,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4,NA,3.4.0
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.4,NA,3.4.2
DRR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.3,NA,3.4.3
dse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2015.12-1,NA,3.4.0
DT,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.3
dtt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-2,NA,3.4.0
dygraphs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1.4,NA,3.4.0
e1071,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6-8,NA,3.4.0
elasticnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1,NA,3.4.0
enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
EvalEst,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2015.4-2,NA,3.4.0
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
evd,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3-2,NA,3.4.0
evtree,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.3
expm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.999-2,NA,3.4.0
expsmooth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3,NA,3.4.0
extrafont,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.17,NA,3.4.0
extrafontdb,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0,NA,3.4.0
fastcluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.24,NA,3.4.1
fastmatch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-0,NA,3.4.0
ff,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2-13,NA,3.4.0
ffbase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.3,NA,3.4.0
filehash,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.4-1,NA,3.4.0
flexclust,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-4,NA,3.4.0
flexdashboard,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.1,NA,3.4.3
flexmix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3-14,NA,3.4.0
fma,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3,NA,3.4.0
forcats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
foreach,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.4,NA,3.4.3
forecast,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,8.2,NA,3.4.2
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.3
formatR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
formattable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0.1,NA,3.4.0
Formula,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-2,NA,3.4.1
fpc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-11,NA,3.4.3
fpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.0
fracdiff,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4-2,NA,3.4.0
fs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.3
gam,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.14-4,NA,3.4.0
gamm4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-5,NA,3.4.1
gbm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.3,NA,3.4.0
gdalUtils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1.7,NA,3.4.0
gdata,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.18.0,NA,3.4.0
gdtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.1
gender,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.1,NA,3.4.0
geojson,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.2
geojsonio,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.2
geojsonlint,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
geosphere,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-7,NA,3.4.2
getCompetitionData,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3,NA,3.4.2
getPass,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-2,NA,3.4.1
GGally,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.2,NA,3.4.1
ggalt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.0
ggdendro,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-20,NA,3.4.0
ggforce,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
ggfortify,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.1,NA,3.4.0
ggiraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.2,NA,3.4.3
ggmap,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6.1,NA,3.4.0
ggplot2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.1,NA,3.4.0
ggraph,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.3
ggrepel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.0,NA,3.4.2
ggthemes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.0,NA,3.4.0
ggvis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.0
gh,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.3
gistr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.0
git2r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.21.0,NA,3.4.3
glmnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-13,NA,3.4.2
glue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
gmodels,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.16.2,NA,3.4.0
gmp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5-13.1,NA,3.4.1
goftest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-1,NA,3.4.0
googlesheets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
googleVis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.2,NA,3.4.0
gower,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.0
GPArotation,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2014.11-1,NA,3.4.0
gplots,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.0.1,NA,3.4.0
